"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","MNE.GGXWDN_NGDP.A","OBS_VALUE","Montenegro","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MAR.GGXWDG_NGDP.A","OBS_VALUE","Morocco","Gross debt, General government, Percent of GDP","Annual","Units","58.564","58.394","60.084","60.261","60.458","60.27","72.245","69.351","71.532","69.475","70.028"
"IMF.RES:WEO(6.0.0)","NRU.LUR.A","OBS_VALUE","Nauru, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","NRU.GGXWDN_NGDP.A","OBS_VALUE","Nauru, Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MHL.GGXWDN_NGDP.A","OBS_VALUE","Marshall Islands, Republic of the","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MEX.GGXWDN_NGDP.A","OBS_VALUE","Mexico","Net debt, General government, Percent of GDP","Annual","Units","41.053","44.898","47.197","44.514","43.644","43.269","50.164","49.097","47.654","46.667","51.382"
"IMF.RES:WEO(6.0.0)","MOZ.LUR.A","OBS_VALUE","Mozambique, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MRT.GGXWDG_NGDP.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","49.542","59.888","57.554","55.664","59.182","57.687","56.489","54.45","50.457","47.453","44.92"
"IMF.RES:WEO(6.0.0)","FSM.GGXWDN_NGDP.A","OBS_VALUE","Micronesia, Federated States of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","LKA.GGXWDG_NGDP.A","OBS_VALUE","Sri Lanka","Gross debt, General government, Percent of GDP","Annual","Units","69.561","76.334","75.0","72.26","83.585","82.594","96.881","102.669","115.942","110.376","99.434"
"IMF.RES:WEO(6.0.0)","G110.GGXWDN_NGDP.A","OBS_VALUE","Advanced Economies","Net debt, General government, Percent of GDP","Annual","Units","73.917","74.001","75.506","72.835","72.628","73.317","84.811","81.96","78.572","78.592","79.565"
"IMF.RES:WEO(6.0.0)","NGA.GGXWDN_NGDP.A","OBS_VALUE","Nigeria","Net debt, General government, Percent of GDP","Annual","Units","10.287","13.039","14.733","16.964","17.674","20.822","24.029","35.659","39.803","48.109","52.591"
"IMF.RES:WEO(6.0.0)","NLD.GGXWDN_NGDP.A","OBS_VALUE","Netherlands, The","Net debt, General government, Percent of GDP","Annual","Units","54.966","52.982","51.045","46.142","42.463","39.229","43.968","41.565","39.845","37.169","35.633"
"IMF.RES:WEO(6.0.0)","OMN.GGXWDN_NGDP.A","OBS_VALUE","Oman","Net debt, General government, Percent of GDP","Annual","Units","-39.295","-36.966","-24.226","-10.418","6.351","11.739","25.851","25.101","12.834","7.404","0.782"
"IMF.RES:WEO(6.0.0)","G110.GGXWDG_NGDP.A","OBS_VALUE","Advanced Economies","Gross debt, General government, Percent of GDP","Annual","Units","103.521","103.08","105.398","102.984","102.525","103.593","121.963","115.497","109.256","108.169","108.517"
"IMF.RES:WEO(6.0.0)","MKD.GGXWDN_NGDP.A","OBS_VALUE","North Macedonia, Republic of","Net debt, General government, Percent of GDP","Annual","Units","33.725","36.078","37.028","38.745","39.178","39.836","50.092","51.887","49.525","49.847","53.775"
"IMF.RES:WEO(6.0.0)","OMN.LUR.A","OBS_VALUE","Oman","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PLW.LP.A","OBS_VALUE","Palau, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018"
"IMF.RES:WEO(6.0.0)","PLW.GGXWDN_NGDP.A","OBS_VALUE","Palau, Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PRY.LUR.A","OBS_VALUE","Paraguay","Unemployment rate","Annual","Units","5.034","4.556","5.255","6.138","6.217","6.595","7.548","7.311","6.755","5.886","5.807"
"IMF.RES:WEO(6.0.0)","PNG.GGXWDN_NGDP.A","OBS_VALUE","Papua New Guinea","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PAN.GGXWDG_NGDP.A","OBS_VALUE","Panama","Gross debt, General government, Percent of GDP","Annual","Units","34.733","34.25","33.618","33.572","35.593","39.863","61.493","54.404","52.702","51.494","56.619"
"IMF.RES:WEO(6.0.0)","PRY.GGXWDG_NGDP.A","OBS_VALUE","Paraguay","Gross debt, General government, Percent of GDP","Annual","Units","15.589","18.613","19.39","19.847","22.331","25.768","36.899","37.501","40.528","41.06","45.244"
"IMF.RES:WEO(6.0.0)","OMN.GGXWDG_NGDP.A","OBS_VALUE","Oman","Gross debt, General government, Percent of GDP","Annual","Units","4.039","13.857","29.338","40.106","44.691","52.464","67.902","61.873","41.673","37.488","35.515"
"IMF.RES:WEO(6.0.0)","PER.GGXWDN_NGDP.A","OBS_VALUE","Peru","Net debt, General government, Percent of GDP","Annual","Units","2.666","5.263","6.881","8.628","10.109","11.114","20.275","19.196","19.387","20.969","22.946"
"IMF.RES:WEO(6.0.0)","PHL.GGXWDG_NGDP.A","OBS_VALUE","Philippines","Gross debt, General government, Percent of GDP","Annual","Units","40.299","39.688","37.376","38.13","37.147","36.973","51.644","57.005","57.389","56.484","57.06"
"IMF.RES:WEO(6.0.0)","PRI.GGXWDN_NGDP.A","OBS_VALUE","Puerto Rico","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","QAT.LUR.A","OBS_VALUE","Qatar","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","QAT.GGXWDN_NGDP.A","OBS_VALUE","Qatar","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ROU.GGXWDG_NGDP.A","OBS_VALUE","Romania","Gross debt, General government, Percent of GDP","Annual","Units","40.474","39.354","39.548","37.107","36.167","36.533","49.26","51.532","51.721","52.142","57.244"
"IMF.RES:WEO(6.0.0)","RUS.GGXWDG_NGDP.A","OBS_VALUE","Russian Federation","Gross debt, General government, Percent of GDP","Annual","Units","15.136","15.286","14.849","14.311","13.62","13.748","19.156","16.524","18.48","19.487","20.303"
"IMF.RES:WEO(6.0.0)","SMR.GGXWDN_NGDP.A","OBS_VALUE","San Marino, Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","WSM.LUR.A","OBS_VALUE","Samoa","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","STP.GGXWDG_NGDP.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","67.427","84.318","81.689","74.726","71.493","76.387","70.752","59.228","55.077","44.687","43.465"
"IMF.RES:WEO(6.0.0)","STP.GGXWDN_NGDP.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
